gene_names,bl41,C8166,CEM A 301,CEM SS,CEM X 174,DAUDI,HSB2,HT1080,IMR90,JURKAT E6.1,Jurkat tag,MT4,RAJI,RAMOS,WI38
SIRT4,16,44,0,8,1,4,11,6,22,39,57,2,72,4,14
RPH3A,3,0,0,0,0,0,0,0,0,2,3,0,3,0,0
KIF16B,355,3,0,0,46,355,0,45,706,605,478,0,312,358,456
TRMT6,1129,1033,14,846,222,907,514,279,607,956,1410,569,1161,454,377
CHGB,0,0,0,0,0,4,0,27,0,9,34,0,0,4,2
PEBP1,3435,2767,103,3778,880,2393,2946,999,5082,2897,4322,3382,4089,1353,3268
TBX5,0,0,0,0,0,0,0,0,643,0,13,0,0,0,1235
BRAP,626,343,11,586,144,445,713,261,695,1027,950,412,773,308,669
ERP29,1373,983,27,1654,462,840,1727,1139,2267,818,1546,733,2688,411,1362
NOS1,1,1,0,0,0,1,1,0,0,3,6,0,0,0,0
FUS,2746,3009,152,2536,1063,2509,3399,1837,4304,7552,2415,7845,4431,3363,7150
IGBP1,467,619,21,611,233,384,907,434,1347,813,973,830,806,300,999
FXYD5,255,57,15,519,109,187,663,304,464,211,182,377,304,270,687
ZNF302,0,275,12,526,103,226,565,276,483,447,396,66,0,133,568
GRAMD1A,426,338,25,731,101,312,477,275,491,1012,551,446,535,370,686
FXYD3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
HEPH,0,5,0,6,1,0,1,3,1052,4,0,525,3,2,718
CDIP1,22,0,0,0,1,0,1,11,31,10,14,1,0,0,17
CMTM1,17,8,0,15,1,16,47,10,24,108,72,29,5,14,20
KCNH4,152,8,0,0,0,19,9,0,1,3,33,54,1,11,1
GANAB,3040,1780,59,4437,315,1919,3542,4178,11035,6200,5003,2942,3958,1844,13093
GMIP,274,100,3,225,55,420,376,102,340,677,303,448,1047,294,446
RBM41,433,331,14,121,53,151,490,188,481,780,467,616,296,236,457
BIRC5,863,1337,26,1497,256,1527,1337,365,1738,2419,3190,1526,2147,1209,867
LAG3,2,0,0,10,0,1,6,0,3,2,1,12,1,0,3
MLF2,800,392,18,1020,180,468,670,419,2027,1201,809,794,1120,260,2360
OTUB2,5,2,0,6,0,4,2,0,14,12,13,2,5,4,4
DDX24,118,98,0,108,24,99,87,46,118,220,344,163,169,76,68
ZBTB25,460,373,17,593,108,765,1202,237,449,1845,1360,2067,1085,788,545
NECAP1,413,153,12,582,111,273,363,176,818,812,781,458,912,343,579
ARHGAP4,1007,1104,55,3511,314,2007,2830,769,12,2844,2955,2683,2020,1028,21
ANKRD24,2,38,0,10,4,2,6,1,11,28,33,52,14,1,31
DHX32,147,376,3,149,41,93,91,566,1160,152,421,444,198,132,1105
RCOR1,1654,269,29,1194,78,529,1074,215,898,1920,1444,3943,782,493,1142
GPATCH2L,1698,1064,25,1698,258,1033,2453,1041,3387,3771,3236,2206,1944,1005,3205
LTBP4,75,39,0,78,13,151,178,175,973,406,485,190,257,140,6222
BLVRB,139,58,0,36,5,139,159,184,871,179,246,334,569,219,459
SLC9A1,121,29,0,81,10,164,39,118,287,238,115,112,128,87,1066
SPTLC1,592,448,33,484,303,386,811,411,2008,1034,1109,657,746,353,1429
PAPOLA,8215,1915,94,3866,782,2513,2699,1415,4711,3892,5715,3331,5146,2729,4168
CCNK,1658,229,22,1026,139,418,545,218,871,1465,1303,1185,591,522,1532
PCBP4,8,31,0,67,8,2,316,414,1279,244,266,237,153,6,959
RGS1,153,334,2,43,310,160,158,1,9,2,0,1721,2291,142,10
YPEL3,21,2,0,5,1,19,46,19,85,23,3,14,19,16,125
MRPS33,995,281,12,681,79,784,338,207,585,623,1259,520,1167,521,281
NDUFB2,2459,559,20,1844,87,1323,1355,323,1822,1631,1915,1325,1590,1140,892
NUDC,887,1111,60,2131,233,680,1367,774,2169,2189,3125,517,3495,659,1450
MAEA,446,816,15,810,192,445,703,297,1346,1173,1005,466,656,313,1103
ICAM1,797,1118,1,81,251,575,188,1,259,64,117,222,3438,283,1600
STRN4,886,359,17,1268,139,780,879,478,1603,1167,896,605,1347,772,1535
IRAK3,1,1329,0,1,0,8,1,3,94,2,8,2009,2,11,326
LYZ,1,0,0,0,0,9,1,2,0,1,1,0,1,0,1
SI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MUL1,358,163,3,202,51,192,267,232,701,393,303,107,608,152,547
TFAP4,411,208,20,458,105,466,316,120,119,541,466,402,423,241,170
PDCD7,364,316,15,280,105,281,344,195,471,881,652,480,349,194,341
SPG21,629,436,11,471,137,498,554,326,1090,1230,953,582,1299,254,1024
FETUB,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
DNAJB11,1195,554,9,849,147,996,693,516,1710,892,959,803,1307,1072,877
P3H2,0,0,0,0,86,0,0,0,2656,2,3,0,1,2,1827
THPO,6,0,0,6,0,1,2,2,0,8,4,4,0,0,0
CHRD,4,4,0,13,0,1,0,21,1,1,2,0,6,0,3
FLT3LG,3,1,0,4,0,5,39,2,4,6,5,6,8,5,5
RAB11FIP3,37,60,2,95,8,73,185,23,122,170,108,199,71,17,165
GNPTG,309,159,4,332,45,211,378,275,1211,509,412,459,529,158,743
ZNF268,289,260,5,408,196,352,842,170,701,287,524,106,418,273,652
GOLGA3,1254,1167,47,2070,350,1816,2446,2710,10815,3583,2373,1335,2725,2592,9085
PABPC4,3519,1478,71,2820,829,2600,2177,1301,3931,3919,4005,3943,3821,2142,3834
CD209,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
CERS4,420,164,0,114,33,328,168,0,35,189,161,91,1066,261,37
MCOLN1,34,17,1,57,18,26,72,25,124,86,69,45,69,6,135
USP48,1257,898,23,1198,339,1038,2199,814,2602,1863,1392,2057,3195,1048,2508
EFNB1,61,125,4,93,4,37,275,184,674,139,175,169,125,5,876
PDPR,954,371,9,1109,183,606,1192,683,1183,2519,1703,831,1109,875,2465
AARS1,2407,1869,53,1842,312,1943,1312,2099,4474,2041,3706,2799,4472,1557,3333
GLG1,2986,535,48,2010,289,1119,2868,1946,7403,3797,5782,1406,2603,1024,10209
KIF4A,464,439,25,993,216,627,1176,240,1186,1629,1759,803,1067,674,646
TNRC6A,1481,723,27,1236,222,1127,1011,973,3599,1957,982,1785,1303,1298,4805
PLEKHG2,312,50,2,315,84,229,832,241,1570,1538,436,323,467,180,3071
DLL3,58,0,0,2,0,0,12,1,8,37,137,37,1,37,6
NAT14,82,137,3,291,26,21,295,343,639,511,432,141,310,48,451
PITPNM2,1231,13,4,352,2,20,221,218,309,2966,473,58,13,298,1400
EXOC1,536,380,19,769,112,490,905,841,1804,753,948,638,1070,564,1375
RBM27,561,324,23,299,188,394,566,152,544,688,778,523,596,355,446
POU4F3,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
OSBPL8,2050,946,99,2105,589,1906,3135,1065,4739,4133,3158,2140,5671,1245,3618
DTX2,133,38,2,54,19,40,40,38,41,173,82,45,145,40,103
NLRC4,14,4,0,15,0,15,7,14,13,15,5,32,148,14,24
PUS7,3034,453,21,1104,156,614,677,130,629,1056,1225,1007,1824,1145,331
LAMB4,2,0,0,0,0,6,0,0,4,0,5,1,1,7,18
NRCAM,31,101,0,1,728,5,0,123,16,0,1,0,5,1,14
LAMB1,269,28,1,106,30,162,89,3889,18325,914,700,274,152,163,27594
SLC26A4,17,6,0,9,0,0,6,37,4,46,21,5,1,5,4
SLC26A3,10,1,0,7,0,1,2,3,0,24,4,3,1,3,0
DLD,2158,1272,36,2140,501,1835,2230,757,3329,1858,2403,2921,2921,1323,2803
WDR7,820,279,19,632,84,852,760,200,1194,1598,957,960,1052,863,1368
TXNL1,1254,531,27,767,166,551,796,521,1728,1524,1180,1141,1263,998,1280
IL5RA,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1
ABCC6,5,0,0,0,0,2,0,0,22,5,2,2,2,1,33
CMTM6,1024,1819,42,1354,325,674,1761,2810,4445,2194,1576,3542,2831,873,2674
ITGA6,38,121,149,2197,10,65,2112,5197,3581,930,1029,161,991,106,1259
RAPGEF4,3,6,0,2,0,3,13,4,208,99,73,1,3,0,79
MAP3K20,900,458,21,575,242,455,1078,960,7892,1817,2203,439,621,117,6575
SMPX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH,836,785,34,1760,208,565,850,318,1980,2205,2851,848,1982,503,1173
SEL1L3,7788,243,2,23,1,7227,1075,1066,1519,668,465,281,2581,7223,1705
TF,3,1,0,0,0,4,2,2,3,10,3,0,1,0,1
CDV3,11037,2218,119,3377,1170,6576,3334,2685,9131,4410,5146,6050,7678,3398,6088
MYO15A,4,2,0,2,1,16,1,0,4,7,3,13,6,2,70
ALKBH5,738,688,46,1667,188,780,1487,521,1919,2540,2464,1573,1464,367,1475
APOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRP1,91,1037,1,511,126,179,318,769,5400,460,543,331,329,77,2752
PITPNM3,7,12,0,20,0,14,43,3,415,176,56,64,33,0,161
SPAG7,205,676,12,415,169,303,800,418,1523,485,834,635,763,102,993
ORC6,532,450,12,506,130,599,832,55,527,1581,1226,1210,888,779,254
ZFHX4,3,0,0,3,0,1,3,33,1629,1,9,529,1,0,3096
SLC17A6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
CPA1,1,0,0,0,0,1,0,0,1,3,1,0,2,0,1
ZC3HC1,700,176,11,470,37,506,278,133,551,584,820,357,673,358,432
ESR1,39,19,0,13,2,406,23,3,34,45,6,138,45,97,66
RGS17,46,1,0,30,2,94,25,187,329,202,248,42,28,34,406
ANGPT2,297,29,1,132,4,124,149,36,82,381,152,98,74,283,113
TMEM101,329,330,6,437,70,256,428,421,649,655,836,394,852,169,383
CD200,0,0,0,0,30,0,0,0,8,0,0,0,10,3,9
CCDC80,31,22,0,7,13,92,2,542,30888,30,49,70,57,7,19920
CMA1,2,0,0,0,2,1,0,0,0,13,8,6,0,0,0
PSME1,1413,745,12,2348,408,1251,2670,444,1504,2505,1558,1826,5461,1177,1489
PPP2R3C,593,389,10,444,60,455,471,156,1075,777,953,817,704,363,648
HAUS4,188,62,5,278,31,249,284,98,165,552,573,396,316,252,132
JPH4,1,67,0,13,11,2,1,293,0,15,8,277,8,2,4
MYH7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
CEBPE,0,0,0,59,1,0,38,0,2,924,270,0,0,0,2
SLC7A8,0,0,0,1,0,0,8,12,0,15,55,0,1,17,5
OSGEP,620,646,23,737,108,739,1112,123,481,1515,1391,1060,1275,553,459
SLC22A17,3,0,1,0,0,0,13,0,767,67,258,35,0,0,585
RNF31,179,148,3,336,24,267,409,127,468,470,438,400,326,196,329
SCFD1,1191,901,33,1018,197,956,1004,727,3085,1152,1673,1539,1484,785,2084
G2E3,523,528,15,1021,133,984,1010,462,1348,1430,1346,904,463,810,879
HECTD1,3882,2578,59,3432,723,3581,5263,2104,9440,5890,7090,5825,5343,3221,7998
HNRNPC,7038,8613,361,9430,3110,8669,9061,4456,9642,12164,22104,9737,15996,8291,6859
RPGRIP1,48,3,0,11,5,31,12,4,6,21,25,16,67,25,3
SUPT16H,5020,4232,299,6771,1617,5078,5513,2443,4590,8387,12105,5037,16174,4306,3370
TOX4,782,411,21,824,174,466,751,469,1465,1511,1138,909,1369,690,1571
GEMIN2,337,192,5,305,33,250,312,77,177,352,536,238,461,314,89
TGM1,17,35,0,9,2,13,10,8,22,20,55,64,9,9,36
TINF2,589,285,20,476,113,469,613,238,809,1020,818,718,669,369,671
DAZL,2,3,0,0,0,0,2,0,0,0,0,0,0,1,0
TBL1Y,40,1,0,0,0,13,1,0,0,3,0,0,0,0,0
SEMA6A,212,76,0,193,12,280,48,18,467,119,54,110,72,108,456
TRPM7,3938,2297,87,2142,859,2692,2723,866,3370,4275,2981,5260,3687,2360,2944
TYRO3,14,1,0,159,1,8,261,194,864,289,362,98,9,0,1016
WDR76,1511,1070,26,1066,296,1130,1535,81,802,2780,2315,2267,2151,2275,414
CAPN3,11,12,0,3,0,3,4,0,3,12,4,22,5,0,12
SNAP23,901,908,32,585,256,260,746,455,2000,1172,970,556,1827,294,1477
TBX15,1,1,0,0,0,2,1,2,0,0,0,0,1,0,0
PHGDH,810,967,57,2551,123,6,2326,853,2944,1882,3290,2517,1522,1315,2083
COL9A3,146,61,0,1101,2,43,30,2,8,23,314,15,65,39,14
EZR,13227,2965,26,4311,725,7502,3922,1210,5284,3042,3464,3109,12571,5262,2619
MYL6,3843,2663,58,3815,729,1811,5835,3004,27812,3835,3175,4263,4480,2000,12863
AGO1,763,948,31,1416,216,1028,1389,984,2061,3467,2151,1199,4883,629,2647
TEKT2,3,4,0,3,0,0,1,1,4,13,15,1,2,0,8
CLSPN,1024,1206,41,1253,345,1438,2954,168,1255,2533,2245,701,2206,1132,728
RFFL,746,91,6,283,157,258,231,210,559,1365,632,900,1299,319,937
UNC13D,129,272,27,2142,59,59,2238,24,8,1833,691,513,11,27,10
MFSD11,1982,1043,58,2028,273,1728,1525,526,1688,3719,2903,1678,2675,1520,1297
DPYSL2,241,482,60,2539,397,793,4226,484,5261,4136,2759,3292,1252,814,8312
TGFB2,2,1,0,2,0,4,0,298,610,10,1,1,1,0,554
GPATCH2,254,1055,19,503,152,348,569,386,1048,810,657,369,428,243,995
NUP50,1890,1366,107,2917,622,1865,3292,695,2623,6970,4673,2671,2430,1565,1805
CDC45,852,755,53,1257,165,755,1552,114,462,1996,2477,2098,1173,690,205
COMT,1264,234,6,899,44,419,543,383,2551,1002,937,472,1127,411,1447
ADA2,108,0,2,30,0,49,326,1,0,840,246,9,135,226,151
VNN3P,3,0,0,0,0,9,0,0,1,0,0,0,3,3,2
ECHDC1,1028,1687,57,1303,286,651,992,450,1805,1634,1846,815,1547,35,1236
LRRFIP2,709,424,18,669,179,559,1041,676,2913,1495,1194,2209,914,516,2081
SEC22C,763,530,22,1022,110,763,1502,376,1881,1974,1655,1247,873,630,1298
XYLB,380,125,7,464,48,72,237,76,135,931,542,380,1,102,177
HDAC6,282,276,4,637,106,615,750,120,895,1330,1410,872,616,617,785
OR1I1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GABRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDC6,1246,812,51,1968,287,1007,1788,237,999,2034,2637,1485,2808,1361,534
UPRT,175,161,6,315,44,150,365,55,350,579,441,326,226,193,256
CDC23,662,588,36,1059,376,548,1051,344,978,1539,1820,613,947,483,663
AAAS,487,311,14,661,138,628,562,233,850,901,1248,428,659,417,487
CBX5,7489,559,107,5780,1745,6142,4125,1537,8060,20176,7882,5289,5227,6397,8357
FMO2,3,11,0,0,0,137,0,0,53,0,0,0,0,76,240
SUCO,994,210,25,842,86,460,803,649,2270,1590,863,631,1362,786,2032
MSH2,2673,2177,56,2285,590,2534,5,329,1093,461,1876,3752,5967,2027,846
MAP3K1,1887,225,15,612,132,552,959,161,1231,871,452,912,655,664,889
DHPS,581,422,19,739,85,681,1016,601,952,1571,1461,672,833,552,643
HOOK2,207,374,0,350,26,155,497,129,653,405,555,426,689,107,1000
NXPE1,0,0,0,1,0,1,0,0,3,6,0,4,1,0,8
ARCN1,1882,934,38,1692,376,766,1205,1059,6441,2954,2433,1211,2249,836,6713
EPB41L4B,4,40,14,159,98,0,176,7,25,166,338,49,0,0,29
TMEM38B,423,212,10,409,62,519,135,76,309,554,650,414,525,233,142
PSMD5,552,262,17,422,165,421,158,120,1125,907,730,454,661,218,1247
PTGS1,13,1,0,2,2,44,2,0,3572,6,13,17,1161,2,11459
NUP188,2278,1419,39,1740,295,1256,1450,277,1789,4473,3690,3741,2235,1326,2246
CRAT,7,8,1,6,2,0,83,120,819,127,192,3,8,2,891
SH2D3C,311,9,1,6,11,538,1015,1,0,449,77,1,195,114,2
NANS,828,341,10,665,104,776,622,454,2520,629,1396,447,1553,694,1052
TBC1D2,18,12,1,27,4,23,61,149,1322,90,94,25,44,9,897
WHRN,33,13,0,0,11,0,22,17,35,124,24,639,2,11,129
PDE6C,14,4,1,14,2,8,18,2,1,38,21,27,7,24,13
CWF19L1,369,565,32,547,210,433,806,177,560,973,1342,610,735,489,414
SEMA4G,57,48,3,64,13,96,73,44,119,247,197,87,39,31,265
BTAF1,3443,2017,87,2446,811,4752,3419,973,2890,5010,3968,2860,5478,2264,2200
IKZF5,394,158,15,249,78,218,195,133,190,566,276,234,230,217,240
BLNK,1131,27,0,1,52,598,1,0,2,32,0,13,508,477,0
TLL2,13,168,1,0,4,8,4,4,7,44,21,126,2,8,0
CYP26A1,1,0,0,19,0,2,9,0,0,21,215,0,2,1,0
TDRD1,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0
SORBS1,6,15,0,5,1,3,35,13,7,58,49,522,1,19,16
CRTAC1,0,0,0,0,0,2,7,0,0,2,2,1,1,0,0
BAMBI,48,6,20,773,29,2,3,21,259,14,464,0,5,0,271
IL11,4,1,1,0,0,4,1,582,869,10,4,0,1,2,764
MYO3A,1,0,0,1,0,0,0,0,0,0,3,500,2,0,0
WAC,1978,1034,67,1798,509,1971,2036,1006,2420,3781,2584,2090,3062,1527,2903
CREM,275,54,2,191,135,258,186,201,432,259,224,160,1634,233,384
NUBP2,727,426,8,1117,67,536,794,224,838,1291,1529,797,997,502,446
TPSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMIM24,5,0,13,168,0,3,105,2,2,281,37,0,0,0,28
HIVEP1,494,531,5,294,161,415,488,186,933,821,305,1868,1304,619,1580
TREM2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
KCNK16,0,0,0,0,0,0,18,0,0,12,0,0,0,0,0
CRISP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FKBP5,2818,949,48,1425,230,3303,1776,138,407,1325,1477,1427,2142,1516,188
SRPK1,2365,3173,97,3097,658,2581,2636,1157,2832,5531,5009,3838,4760,2326,1969
BRPF3,238,132,3,208,26,347,151,101,640,260,115,447,230,124,1212
MRPS18A,293,730,18,413,97,137,398,182,610,611,771,380,637,181,342
PGC,1,0,0,0,0,0,0,0,0,1,6,1,1,1,0
TMEM14A,138,345,4,354,24,78,280,86,596,391,609,369,531,159,291
EFHC1,281,189,1,198,17,103,241,379,1289,589,341,71,92,327,1317
NCR2,0,0,0,0,0,0,12,0,0,1,0,1,13,0,0
HSP90AB1,13601,27134,524,16937,4822,11230,10057,6775,17005,17191,24192,17384,26384,10541,12621
MLN,2,1,0,0,0,0,2,1,0,3,0,0,2,0,2
CDC5L,1751,1919,67,1161,418,1304,1940,640,2318,2469,2239,1724,2036,988,1480
ITPR3,1806,973,23,1302,155,4214,2017,1871,650,2685,1595,3736,2771,2606,852
ZNF184,308,315,10,647,116,197,661,59,317,1088,682,450,312,141,314
DSP,2,2,0,0,2,1,15,104,4598,6,498,0,0,0,197
SIRT1,668,436,12,263,99,516,776,120,956,974,926,563,655,407,713
HNRNPH3,1032,1843,84,1123,601,730,1449,1237,1631,2036,1225,1352,1063,914,1581
IFT74,62,187,1,320,86,60,132,184,592,109,113,384,263,227,536
JAK2,237,106,1,254,121,7,299,197,712,519,396,338,995,297,834
IL12RB1,225,1,0,19,51,311,152,5,0,37,0,19,274,365,4
ABL1,825,80,14,862,167,380,765,899,3015,1947,1038,306,518,261,4698
ACOT7,481,602,12,533,101,245,869,1161,827,1433,829,493,989,152,691
SH3GLB1,1314,289,33,927,188,830,1488,683,2850,1900,1335,630,1606,812,2324
CDC7,437,767,45,683,184,439,717,119,281,2158,2076,1105,941,838,122
SYDE2,0,75,4,265,12,0,122,82,498,477,275,52,1,5,505
PCSK5,2,0,1,15,0,1,270,30,217,159,77,33,0,2,633
SCD,5287,2456,166,12517,927,2661,19553,5311,6393,16352,13693,6268,11015,3211,15270
TMED1,328,228,4,287,27,212,227,237,967,341,340,228,363,131,598
ABLIM1,1919,696,33,1115,152,854,48,3,790,7107,1436,1306,580,2704,457
ERMP1,833,1354,7,328,109,286,439,582,798,534,327,2517,1083,640,1052
RAB18,649,418,26,840,178,477,1037,386,3277,1192,1158,559,1286,369,1726
NRP1,3,7,0,7,6,1,22,10469,10508,38,17,13,10,0,3716
HSD17B7P2,85,14,4,92,12,111,147,23,23,82,50,45,85,42,15
PRTFDC1,0,0,0,247,50,2,3,0,482,15,140,0,3,0,337
PALMD,1,2,0,4,0,1,0,7,26,5,1,1,6,2,70
TSPAN15,46,322,3,0,12,1,118,0,4,334,326,6,6,4,10
MACROH2A2,1,0,0,14,6,4,80,2,478,49,90,546,3,0,440
WASHC2A,644,429,16,782,191,370,1170,543,2082,757,950,339,1199,240,1970
MAST3,375,24,0,65,35,243,202,38,200,567,185,142,451,339,499
MZF1,442,212,0,227,56,467,403,101,341,813,447,389,280,334,637
OCEL1,35,20,0,14,2,31,49,37,50,87,70,22,85,38,81
MYO9B,1303,528,27,1074,356,1512,2119,573,4299,2360,1103,1469,1922,1419,5042
KCNK6,1,5,8,0,0,2,418,11,390,200,356,4,12,45,157
CATSPERG,38,21,0,29,2,31,49,4,17,63,34,34,26,18,22
PSMD8,1677,1705,62,2843,444,1066,1990,836,3838,2715,3452,1418,2603,1069,1757
FBXL19,295,351,13,801,27,248,894,384,799,1180,1293,584,718,283,515
STX1B,7,4,0,0,1,1,4,12,183,8,24,193,0,7,314
HSD3B7,4,18,1,17,1,10,14,103,350,21,18,62,16,13,315
SETD1A,403,70,9,183,66,315,207,170,254,556,430,338,345,269,722
BCL7C,178,149,11,343,51,9,467,73,1179,431,548,200,123,103,596
MAGEB2,0,0,0,0,0,0,0,554,0,0,1,0,0,0,0
EFNA2,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0
CIRBP,2547,2412,75,3764,361,4242,3116,1872,4990,3360,5728,3727,3949,3060,3080
ATP5F1D,311,200,7,306,97,144,187,205,372,334,261,158,964,173,441
CBARP,34,47,0,27,1,16,51,50,174,66,75,59,47,23,213
PCDH11Y,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMELY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRKY,1024,292,0,0,0,522,817,241,2,768,1,597,500,1,1
IGFALS,13,7,0,18,1,33,25,5,11,42,13,30,22,16,19
HNRNPM,3464,3577,205,4583,1485,2127,3632,1013,4923,5227,4714,2994,3762,2035,4104
MARCHF2,62,43,0,13,18,33,177,36,389,146,166,88,174,61,239
NDUFB7,487,469,28,708,171,336,633,276,1046,630,705,385,1068,349,532
TECR,330,445,14,461,66,193,302,145,503,782,544,919,411,180,322
TIMM13,1083,974,28,1803,143,670,775,771,1527,1231,1654,518,2128,914,648
CDC34,356,193,9,541,54,178,581,388,921,589,631,234,819,200,617
MTAP,1922,647,0,26,89,781,41,7,1609,1,1,2265,1900,1323,1300
MISP,0,0,0,0,0,5,1,0,1,0,27,0,1,0,3
CEP170B,172,249,1,13,0,2,555,264,1509,11,220,252,2,0,1564
POLR2E,1681,904,21,1728,195,852,1086,487,2292,1133,1499,746,2430,676,1257
POLRMT,1170,695,9,807,112,512,775,604,647,1163,1847,580,1219,487,473
HCN2,17,2,0,9,0,3,68,6,38,39,49,1,1,2,43
CDHR5,7,1,0,13,0,50,12,24,14,23,25,6,10,2,6
IZUMO4,63,69,1,41,15,62,183,47,33,99,53,38,1819,36,29
RASSF7,21,10,1,59,0,9,66,6,40,40,77,30,62,20,12
GADD45B,421,374,0,106,103,180,67,229,578,140,47,488,736,152,682
PALM,3,0,0,4,0,1,268,0,289,122,61,0,14,0,387
MADCAM1,1,3,0,0,1,1,2,1,1,4,1,1,15,4,7
IGF2-AS,0,7,0,0,0,0,0,0,0,0,0,242,2,2,1
MKNK2,1966,1477,57,1343,594,734,2101,779,642,2200,1236,1158,5164,821,847
ARVCF,83,49,0,13,0,80,404,77,423,255,203,137,63,32,320
TRMT2A,790,569,7,746,99,578,598,431,695,1352,1213,782,1198,707,501
RANBP1,2220,1610,99,3098,573,2759,2302,581,2071,5445,6945,3223,4100,2578,1286
ZDHHC8,191,83,2,182,30,2,302,214,710,480,334,290,155,257,884
KLHL22,156,175,4,99,17,225,328,68,782,623,315,452,318,28,724
MED15,537,349,10,461,66,494,686,497,1943,1041,627,784,714,484,2374
SERPIND1,47,6,0,23,2,64,33,9,35,90,42,51,24,41,47
SNAP29,438,124,7,351,86,191,329,127,704,688,539,326,372,260,833
CRKL,1637,1080,57,2349,289,989,2576,841,2098,4255,2527,2095,2143,1096,1933
LZTR1,1144,583,24,523,82,785,683,496,2030,1272,843,748,1079,672,1763
MMP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CECR2,330,0,0,0,0,1,24,0,0,79,39,0,1,1,1
SMARCB1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2RX6,5,1,0,2,0,2,68,60,48,46,2,2,0,1,63
DERL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A4,3,0,0,0,0,2,18,4,0,15,1,0,1,0,6
BCL2L13,936,436,13,779,131,524,432,895,2313,878,908,639,1358,459,1854
DDTL,0,0,0,4,0,7,0,0,0,2,0,2,5,0,0
DDT,2,0,0,0,0,10,0,0,0,2,0,0,0,0,0
GSTT2,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0
OSM,23,34,0,52,0,9,883,5,2,59,7,18,8,8,4
CABIN1,1763,901,27,2059,202,1526,2363,364,1899,3619,2304,1794,1468,1011,2771
TBC1D10A,41,61,5,196,3,112,184,44,251,415,185,266,193,75,369
SUSD2,9,79,0,1,0,67,13,5,11,32,5,100,3,6,7
SF3A1,1672,454,29,1233,278,915,899,503,1149,3389,1757,1237,1959,817,1759
GGT5,1,0,0,0,0,2,1,1,20,4,0,0,19,1,14
RNF215,178,126,0,134,12,71,330,289,555,377,199,290,250,44,678
SEC14L2,168,30,1,104,6,126,248,192,234,348,164,221,117,95,202
SEC14L3,1,0,0,0,0,0,1,0,0,3,2,0,0,0,0
SPECC1L,633,208,4,374,54,453,460,150,1050,821,687,397,753,384,764
PPIL2,1049,275,17,754,121,807,622,353,822,1898,997,821,722,995,1171
UPB1,35,59,0,1,1,7,0,12,0,2,1,0,248,1,1
YPEL1,333,33,8,334,18,209,318,52,216,1473,689,144,88,309,273
SNRPD3,2070,2299,105,2827,461,2109,2764,782,2607,2957,4166,2173,3064,1897,1304
PES1,1888,1517,48,2230,384,1586,1329,784,2093,1841,3476,1222,3109,1027,857
MAPK1,2534,608,53,2470,364,1102,2788,956,5113,3453,2507,1672,2393,1204,4002
GGT1,37,258,3,422,56,16,12,17,13,478,60,471,650,4,46
PRODH,0,7,0,0,0,4,0,0,0,0,2,0,1,0,0
PPM1F,574,322,5,814,50,371,870,554,2598,1317,1213,478,923,169,1918
SLC35E4,17,13,2,518,5,31,77,129,414,186,141,63,40,17,184
TOP3B,869,239,6,626,53,649,471,174,572,1025,769,650,625,765,652
CRYBB3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
CYTH4,144,841,4,128,15,396,1315,31,9,60,27,559,959,82,6
ESS2,279,170,0,253,39,121,299,83,528,466,452,247,221,159,320
CRYBB2P1,349,130,4,231,18,96,252,80,376,716,309,372,312,110,292
MFNG,2352,7,13,1033,116,1844,888,8,4,1112,1289,829,2116,1608,7
CARD10,4,0,0,0,1,1,5,342,723,2,7,0,1,5,422
LRP5L,220,72,0,64,18,26,619,19,250,614,434,262,290,467,382
SLC25A1,286,247,10,762,34,293,832,540,1622,777,955,441,1813,269,1076
GRK3,671,187,105,3447,70,771,2227,41,179,9678,6044,841,2230,883,151
PLA2G3,0,0,0,69,0,0,0,1,10,0,11,0,0,0,27
LGALS2,0,0,0,0,0,0,0,7,24,0,1,0,3,0,74
